job_id,Job Title,Company Name,Level,Description,Essential Skills,Salary Info,Alumni Profile Link,Job Link
d249f5fa-63df-4064-8b2e-e2567b421770,Security Analyst - Vegas | ReliaQuest,ReliaQuest,"Junior or beginner-level position, typically for recent graduates","Join ReliaQuest as a Security Analyst to investigate and defend against cyber threats in enterprise environments. Leverage cutting-edge technologies and training opportunities to address the evolving threat landscape for our customers. Responsibilities include analyzing security data, researching cyber trends, and providing Incident Response support. Ideal candidates have a related degree, 1-3 years of experience in security/network administration, knowledge of security processes and tools, and strong communication skills. This role offers a career path in various security and management disciplines within the company. If you're adaptable, customer-focused, and passionate about cybersecurity, this role is for you.","1. Bachelor's degree in a related field is highly preferable, 2. 1-3 years' experience as a Security/Network Administrator or equivalent knowledge, 3. Knowledge of various security methodologies and processes, and technical security solutions (SIEM,",Salary information: NA,https://www.linkedin.com/in/brianb4498?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACb1E_YBUKC6BpB5JapOMZjWM2BV7dzcE5s,https://www.linkedin.com/jobs/view/3241298067/
e0749cc2-8a4d-4187-8b85-0f0ee176833e,Armed Security Officer | Metro One LPSG,Metro One LPSG,Workplace is On-site.,"Join Metro One as an Armed Security Officer with nationwide clients and growth opportunities. We offer health benefits, advancement prospects, and paid uniforms. Candidates must be active/retired Law Enforcement Officers, flexible with schedules, and customer-oriented. If you can stand for full shifts, interact professionally, and pass pre-employment screenings, apply now. Providing security in designated areas and assisting customers, employees, and visitors are key responsibilities. Take the next step in your security career with Metro One LPSG, an Equal Opportunity Employer.","1. Must be an active or retired Law Enforcement Officer, 2. Must have a flexible schedule, 3. Must be available on weekends for events, 4. Must be able to stand for a full shift, 5. Strong interpersonal skills, 6.",$40/hr.,https://www.linkedin.com/in/michael-mathew104?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAC1b2LIBIMbdpMw2MOrJPCJ8Q7VuzxfS5dg,https://www.linkedin.com/jobs/view/3926586540/
071a7395-ffc1-4e88-98f6-f26595d34732,Senior Machine Learning Engineer | Arute Solutions,Arute Solutions,40 hours per week.,"Join Arute Solutions as a Senior Machine Learning Engineer to apply your expertise in AI and data science to solve analytical challenges in finance and e-commerce. Collaborate with a software development team to convert insights into scalable solutions and drive innovation. Bachelor's or Master’s degree in Computer Science or related field, solid knowledge of machine learning concepts, and proficiency in Python, data preprocessing, SQL, and statistical understanding are required. Experience in supervised/unsupervised algorithms, Linux, data pipelines, and git is essential. Nice-to-haves include time-series forecasting, deep learning libraries, big-data computing frameworks, and financial data experience. Shape the future of data-driven decision-making with us!","1. Solid theoretical understanding of machine learning concepts and algorithms., 2. Practical experience with supervised and unsupervised machine learning algorithms., 3. Experience with Linux commands and management of ML jobs., 4. Experience to create data pipelines using tools like Airflow",Full-time salary not mentioned. NA,https://www.linkedin.com/in/ali-pala-940576140?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACJBYMABGJK0_vVR0a5gpA1JHquDZ8rqwO4,https://www.linkedin.com/jobs/view/3938652545/
ab4076a2-16ab-4326-a35e-194260162998,Sr. Software Engineer | Rakuten Rewards,Rakuten Rewards,Job location: On-site.,"Rakuten Rewards is seeking a Senior Backend Software Engineer to join our growing global team. Responsibilities include designing and implementing server-side logic, optimizing application performance, collaborating with team members, and staying updated on industry trends. The ideal candidate has 5+ years of backend development experience, expertise in TypeScript and Java, and familiarity with AWS platforms. Bachelor’s or Master’s in Computer Science or equivalent experience required. Additional expertise in Python, Golang, and CI/CD pipelines is a plus. Rakuten values continuous improvement, professionalism, customer satisfaction, speed, and diversity. The base compensation ranges from USD $115,005.00 - $196,020.00 annually, with benefits like health insurance, 401k matching, and more.","Essential skills required for the job:, , 1. Experience working with serverless and monolith architectures at a production level, 2. Demonstrated experience with service-oriented architecture concepts, principles, and patterns, 3. Designed event-driven architecture for multiple services to",Salary: $115K/yr - $196K/yr per year.,https://www.linkedin.com/in/matthewfbenjamin?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAmmUDcBvyuCjnu4OLJc38jKTYm94pi43Z8,https://www.linkedin.com/jobs/view/3919391785/
7b49b750-a9ef-4c9e-8ea3-da00c276d80b,"Assistant | MUELLER SECURITIES, LLC","MUELLER SECURITIES, LLC",Workplace type preference is On-site.,"Join Mueller Security as an Assistant to the Compliance and HR Manager. Assist with compliance activities, human resource tasks, and site supervision. Responsibilities include compliance record-keeping, recruitment support, and employee relations assistance. Ideal candidates possess organizational skills, attention to detail, and confidentiality. Proficiency in Microsoft Office and adaptability to a dynamic work environment are desired. Previous experience in compliance, HR, or administration is a plus. Starting pay at $20/hour with a flexible 25-40 hours per week schedule. Apply now to play a vital role in maintaining excellence and innovation within our team.","Essential skills required for the job:, , 1. Compliance knowledge and understanding - to support compliance activities and ensure adherence to organizational and state obligations., 2. Organizational skills - ability to maintain accurate records, documentation, and databases related to compliance and human resources",Salary: $20 per hour.,https://www.linkedin.com/in/eve-rokhvadze-30860b1a1?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAC9BI_gB0Idmf0MXklYb0iCVqA4X9W7044Q,https://www.linkedin.com/jobs/view/3930025604/
3b642bbe-fc83-4b93-a5c3-0b51592fe441,Financial Advisor | Northwestern Mutual,Northwestern Mutual,"40 hours per week, consistent work schedule.","Join our team as a Financial Advisor at Northwestern Mutual in NYC and Long Island! We seek career changers with a sales or business background, strong interpersonal skills, and a desire to impact lives through financial planning. No prior financial experience is required, as we provide comprehensive training. Enjoy the flexibility to build your practice, supported by mentoring and a competitive compensation package with exceptional income potential. As a Financial Advisor, you'll develop holistic financial solutions for clients, focusing on their goals and financial success. Join us in empowering individuals and businesses to achieve financial security, with Northwestern Mutual's robust network and a legacy of 165 years in the industry. Apply now and grow your career with us!","1. Sales experience, 2. Marketing or business development knowledge, 3. Self-motivation, 4. Strong interpersonal and communication skills, 5. History of personal success, 6. Professional ethics, 7. Interest in business, finance, or entrepreneurial",Salary information: NA,https://www.linkedin.com/in/chaipanngai?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAwYT04B8aJPu7KegSp2UD1ggSY2Ycg8RwQ,https://www.linkedin.com/jobs/view/3936755863/
7e32587f-a4c2-4098-b05a-fe03c6c82553,"Senior Software Engineer, Marketplace | Gemini",Gemini,Job preferences match: Hybrid workplace.,"Gemini, a leader in the crypto space, is seeking a Senior Software Engineer with expertise in trading systems. Responsibilities include enhancing trading platform functionality, managing risk, and ensuring system reliability. Ideal candidates have 5+ years of Java/C++ experience in trading systems, familiarity with FIX protocols, and knowledge of Linux systems. Preferred qualifications include low-latency development skills and expertise in multithreading. This role offers competitive compensation, health plans, a 401K with matching, and flexible time off. If you're passionate about shaping the future of finance, join our dynamic team and unlock the possibilities of crypto. Equal employment opportunities are upheld.","Essential skills required for the Senior Software Engineer (Trading) role at Gemini:, , 1. 5+ years Java/C++ or functional programming language experience in an exchange/trading systems environment., 2. Experience with unit testing frameworks and continuous integration tools.",$152K-$190K per year,https://www.linkedin.com/in/ankitarora30?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAtYGp4Bf5kG3xUvdM_SofPm5BpmbxWo2pg,https://www.linkedin.com/jobs/view/3786849884/
0c3e94b7-9fae-4670-97d1-48129e718528,Sales Development Representative | Cymulate,Cymulate,Job requires full availability during standard working hours.,"Join our dynamic team at Cymulate as a Sales Development Representative to drive new business opportunities in the cybersecurity industry. Your responsibilities include strategic research, prospecting, and articulating Cymulate's value proposition to potential clients. You'll work closely with sales, marketing, and enablement teams while exceeding activity KPIs. Requirements include a minimum of 2 years outbound SDR experience in cybersecurity, proficiency in SDR supporting tools, and exceptional communication skills. Grow your career in a fast-paced, goal-oriented environment with a top-rated company.","1. 2 years minimum experience in a previous outbound Sales Development Representative (SDR) role within the cybersecurity space., 2. Knowledge of using SDR supporting tools such as lead forensics', sales navigator, growth x, outreach, etc.",Salary information not provided. NA,https://www.linkedin.com/in/meeganrehak?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAubedQB_Ua-VJ4BrxNH1CuAep7UgFrJlNk,https://www.linkedin.com/jobs/view/3861141740/
4a3c7ebf-b675-4a21-9755-9e9028125cd5,Research Engineer L5 - Machine Learning Efficiency | Netflix,Netflix,Job type is full-time; aligns with your,"Netflix seeks an Applied Research Engineer with expertise in training and deploying large language models (LLMs) and deep neural networks efficiently. The role involves optimizing models at scale, collaborating with scientists, and implementing software improvements. Required skills include software engineering, experience with LLMs, Python/Java proficiency, TensorFlow/PyTorch knowledge, and understanding of hardware accelerators. Preferred qualifications include technical leadership, cross-functional teamwork, and experience in Search, Recommendations, NLP, and distributed systems. The compensation ranges from $100,000 to $720,000 annually, with benefits such as health plans, retirement options, stock programs, and paid leave. Netflix values diversity and equal employment opportunities.","Essential Skills for the Job:, 1. Strong software engineering experience with a track record of delivering quality results., 2. Proven expertise in training and serving infrastructure for large language models (LLMs) and other foundation models., 3. Strong problem-solving",Salary: $100k - $720k per year.,https://www.linkedin.com/in/sudarshanlamkhede?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAACnl40BcaE9ZbMDLMeeayKbv2rAF6eG0Jw,https://www.linkedin.com/jobs/view/3800615017/
ebf3bad7-6563-450f-9859-7b69a4d30d9f,Staff Software Engineer | Uber,Uber,"Employment: Full-time, stable work in preferred","Join our Trusted Identity team at Uber to lead innovative identity verification solutions for our users and partners, ensuring a safe and streamlined experience on our platform. Responsibilities include leveraging app and device advancements, addressing fraud risks, collaborating with cross-functional teams, and guiding the technology roadmap. Basic qualifications include app ecosystem knowledge and cross-platform expertise, while preferred qualifications involve firmware understanding and mentorship skills. The role is based in Sunnyvale, CA, offering a competitive salary range, bonus program, equity awards, and comprehensive benefits. Apply now to drive safety and innovation at Uber!","- Knowledge of app ecosystem capabilities for fraud and abuse detection, - Cross-platform (iOS and Android) expertise, - Collaboration with multiple teams to combat fraud vectors, - Experience in firmware and/or device internals domain, - Ability to guide and mentor junior engineers",$218K/yr - $242K/yr per year,https://www.linkedin.com/in/suganyaramachandran?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAGhQO0BTDRKGJl-ySCibZOra6VWsDI46PE,https://www.linkedin.com/jobs/view/3855017104/
